2020-03-03 16:26:52,088 Time, PID, Interaction Style, Mode, Event-type, ID, Alive?, Center
2020-03-03 16:27:32,883 , P4, SSt, Vacation, Movement, 0, True, (342, 378)
2020-03-03 16:27:32,917 , P4, SSt, Vacation, Movement, 0, True, (341, 376)
2020-03-03 16:27:32,953 , P4, SSt, Vacation, Movement, 0, True, (341, 376)
2020-03-03 16:27:32,988 , P4, SSt, Vacation, Death, 0, False, (-500, -500)
2020-03-03 16:27:33,859 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
2020-03-03 16:27:33,892 , P4, SSt, Vacation, Movement, 0, True, (591, 138)
2020-03-03 16:27:33,926 , P4, SSt, Vacation, Movement, 0, True, (590, 134)
2020-03-03 16:27:33,959 , P4, SSt, Vacation, Movement, 0, True, (593, 131)
2020-03-03 16:27:33,993 , P4, SSt, Vacation, Movement, 0, True, (592, 132)
2020-03-03 16:27:34,024 , P4, SSt, Vacation, Movement, 0, True, (592, 132)
2020-03-03 16:27:34,065 , P4, SSt, Vacation, Movement, 0, True, (587, 133)
2020-03-03 16:27:34,102 , P4, SSt, Vacation, Movement, 0, True, (587, 133)
2020-03-03 16:27:34,135 , P4, SSt, Vacation, Death, 0, False, (-500, -500)
2020-03-03 16:27:37,493 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
2020-03-03 16:27:37,527 , P4, SSt, Vacation, Movement, 0, True, (1342, 123)
2020-03-03 16:27:37,559 , P4, SSt, Vacation, Movement, 0, True, (1344, 123)
2020-03-03 16:27:37,592 , P4, SSt, Vacation, Movement, 0, True, (1343, 125)
2020-03-03 16:27:37,625 , P4, SSt, Vacation, Movement, 0, True, (1343, 125)
2020-03-03 16:27:37,658 , P4, SSt, Vacation, Movement, 0, True, (1343, 125)
2020-03-03 16:27:37,691 , P4, SSt, Vacation, Death, 0, False, (-500, -500)
2020-03-03 16:27:41,507 , P4, SSt, Vacation, Switch, 0, False, (-500, -500)
2020-03-03 16:27:41,507 , P4, SSt, Screenshot, Switch, 0, False, (-500, -500)
2020-03-03 16:27:44,858 , P4, SSt, Screenshot, Movement, 0, True, (-500, -500)
2020-03-03 16:27:44,858 , P4, SSt, Screenshot, Movement, 0, True, (595, 619)
2020-03-03 16:27:44,924 , P4, SSt, Screenshot, Movement, 0, True, (598, 618)
2020-03-03 16:27:44,924 , P4, SSt, Screenshot, Movement, 0, True, (600, 616)
2020-03-03 16:27:44,990 , P4, SSt, Screenshot, Movement, 0, True, (600, 617)
2020-03-03 16:27:45,022 , P4, SSt, Screenshot, Movement, 0, True, (600, 617)
2020-03-03 16:27:45,056 , P4, SSt, Screenshot, Movement, 0, True, (600, 617)
2020-03-03 16:27:45,056 , P4, SSt, Screenshot, Death, 0, False, (-500, -500)
2020-03-03 16:27:45,987 , P4, SSt, Screenshot, Movement, 0, True, (-500, -500)
2020-03-03 16:27:46,020 , P4, SSt, Screenshot, Movement, 0, True, (841, 376)
2020-03-03 16:27:46,054 , P4, SSt, Screenshot, Movement, 0, True, (841, 377)
2020-03-03 16:27:46,090 , P4, SSt, Screenshot, Movement, 0, True, (843, 374)
2020-03-03 16:27:46,128 , P4, SSt, Screenshot, Movement, 0, True, (843, 374)
2020-03-03 16:27:46,166 , P4, SSt, Screenshot, Movement, 0, True, (844, 374)
2020-03-03 16:27:46,201 , P4, SSt, Screenshot, Movement, 0, True, (843, 372)
2020-03-03 16:27:46,235 , P4, SSt, Screenshot, Death, 0, False, (-500, -500)
2020-03-03 16:27:46,944 , P4, SSt, Screenshot, Movement, 0, True, (-500, -500)
2020-03-03 16:27:46,945 , P4, SSt, Screenshot, Movement, 0, True, (844, 142)
2020-03-03 16:27:47,011 , P4, SSt, Screenshot, Movement, 0, True, (844, 142)
2020-03-03 16:27:47,043 , P4, SSt, Screenshot, Movement, 0, True, (843, 142)
2020-03-03 16:27:47,076 , P4, SSt, Screenshot, Movement, 0, True, (843, 142)
2020-03-03 16:27:47,110 , P4, SSt, Screenshot, Movement, 0, True, (843, 142)
2020-03-03 16:27:47,142 , P4, SSt, Screenshot, Death, 0, False, (-500, -500)
2020-03-03 16:27:49,009 , P4, SSt, Screenshot, Switch, 0, False, (-500, -500)
2020-03-03 16:27:49,009 , P4, SSt, Pet, Switch, 0, False, (-500, -500)
2020-03-03 16:27:50,507 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:50,539 , P4, SSt, Pet, Movement, 0, True, (842, 620)
2020-03-03 16:27:50,572 , P4, SSt, Pet, Movement, 0, True, (842, 620)
2020-03-03 16:27:50,606 , P4, SSt, Pet, Movement, 0, True, (843, 622)
2020-03-03 16:27:50,638 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:51,179 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:51,212 , P4, SSt, Pet, Movement, 0, True, (1110, 624)
2020-03-03 16:27:51,245 , P4, SSt, Pet, Movement, 0, True, (1108, 621)
2020-03-03 16:27:51,285 , P4, SSt, Pet, Movement, 0, True, (1108, 621)
2020-03-03 16:27:51,319 , P4, SSt, Pet, Movement, 0, True, (1108, 622)
2020-03-03 16:27:51,353 , P4, SSt, Pet, Movement, 0, True, (1108, 622)
2020-03-03 16:27:51,387 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:52,719 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:52,752 , P4, SSt, Pet, Movement, 0, True, (1604, 378)
2020-03-03 16:27:52,785 , P4, SSt, Pet, Movement, 0, True, (1607, 378)
2020-03-03 16:27:52,818 , P4, SSt, Pet, Movement, 0, True, (1608, 376)
2020-03-03 16:27:52,851 , P4, SSt, Pet, Movement, 0, True, (1608, 376)
2020-03-03 16:27:52,884 , P4, SSt, Pet, Movement, 0, True, (1608, 376)
2020-03-03 16:27:52,917 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:53,451 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:53,518 , P4, SSt, Pet, Movement, 0, True, (1831, 142)
2020-03-03 16:27:53,551 , P4, SSt, Pet, Movement, 0, True, (1830, 142)
2020-03-03 16:27:53,551 , P4, SSt, Pet, Movement, 0, True, (1830, 142)
2020-03-03 16:27:53,585 , P4, SSt, Pet, Movement, 0, True, (1827, 143)
2020-03-03 16:27:53,618 , P4, SSt, Pet, Movement, 0, True, (1830, 144)
2020-03-03 16:27:53,650 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:54,185 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:54,219 , P4, SSt, Pet, Movement, 0, True, (1616, 126)
2020-03-03 16:27:54,252 , P4, SSt, Pet, Movement, 0, True, (1616, 126)
2020-03-03 16:27:54,284 , P4, SSt, Pet, Movement, 0, True, (1616, 126)
2020-03-03 16:27:54,318 , P4, SSt, Pet, Movement, 0, True, (1615, 127)
2020-03-03 16:27:54,351 , P4, SSt, Pet, Movement, 0, True, (1617, 128)
2020-03-03 16:27:54,384 , P4, SSt, Pet, Movement, 0, True, (1616, 126)
2020-03-03 16:27:54,417 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:55,952 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:55,985 , P4, SSt, Pet, Movement, 0, True, (604, 376)
2020-03-03 16:27:56,017 , P4, SSt, Pet, Movement, 0, True, (602, 374)
2020-03-03 16:27:56,051 , P4, SSt, Pet, Movement, 0, True, (601, 372)
2020-03-03 16:27:56,084 , P4, SSt, Pet, Movement, 0, True, (600, 372)
2020-03-03 16:27:56,123 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:56,611 , P4, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-03 16:27:56,645 , P4, SSt, Pet, Movement, 0, True, (350, 142)
2020-03-03 16:27:56,680 , P4, SSt, Pet, Movement, 0, True, (348, 142)
2020-03-03 16:27:56,714 , P4, SSt, Pet, Movement, 0, True, (350, 142)
2020-03-03 16:27:56,748 , P4, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-03 16:27:57,957 , P4, SSt, Pet, Switch, 0, False, (-500, -500)
2020-03-03 16:27:57,957 , P4, SSt, Food, Switch, 0, False, (-500, -500)
2020-03-03 16:27:59,049 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:27:59,116 , P4, SSt, Food, Movement, 0, True, (112, 866)
2020-03-03 16:27:59,116 , P4, SSt, Food, Movement, 0, True, (106, 864)
2020-03-03 16:27:59,149 , P4, SSt, Food, Movement, 0, True, (103, 861)
2020-03-03 16:27:59,182 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:27:59,556 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:27:59,589 , P4, SSt, Food, Movement, 0, True, (110, 364)
2020-03-03 16:27:59,621 , P4, SSt, Food, Movement, 0, True, (107, 358)
2020-03-03 16:27:59,655 , P4, SSt, Food, Movement, 0, True, (112, 356)
2020-03-03 16:27:59,688 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:27:59,952 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:27:59,986 , P4, SSt, Food, Movement, 0, True, (120, 152)
2020-03-03 16:28:00,018 , P4, SSt, Food, Movement, 0, True, (120, 150)
2020-03-03 16:28:00,051 , P4, SSt, Food, Movement, 0, True, (118, 148)
2020-03-03 16:28:00,084 , P4, SSt, Food, Death, 0, False, (-500, -500)
2020-03-03 16:28:00,882 , P4, SSt, Food, Movement, 0, True, (-500, -500)
2020-03-03 16:28:00,882 , P4, SSt, Food, Movement, 0, True, (1112, 128)
